Format,2.0A,
Memory Length,5000,
Trigger Level,35.0mV,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,2.000E-02,
Vertical Position,-1.136E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,4.530E-05,
Horizontal Mode,Main,
Sampling Period,2.000E-08,
Firmware,V1.13,
Time,15-Nov-18 23:37:02,
Mode,Detail,
Waveform Data,
-8.812000e-05,7.28e-02,
-8.810000e-05,7.52e-02,
-8.808000e-05,7.28e-02,
-8.806000e-05,7.44e-02,
-8.804000e-05,7.36e-02,
-8.802000e-05,7.36e-02,
-8.800000e-05,7.52e-02,
-8.798000e-05,7.68e-02,
-8.796000e-05,7.28e-02,
-8.794000e-05,7.60e-02,
-8.792000e-05,7.36e-02,
-8.790000e-05,7.52e-02,
-8.788000e-05,7.44e-02,
-8.786000e-05,7.60e-02,
-8.784000e-05,7.36e-02,
-8.782000e-05,7.60e-02,
-8.780000e-05,7.36e-02,
-8.778000e-05,7.52e-02,
-8.776000e-05,7.36e-02,
-8.774000e-05,7.60e-02,
-8.772000e-05,7.36e-02,
-8.770000e-05,7.60e-02,
-8.768000e-05,7.36e-02,
-8.766000e-05,7.60e-02,
-8.764000e-05,7.36e-02,
-8.762000e-05,7.68e-02,
-8.760000e-05,7.36e-02,
-8.758000e-05,7.60e-02,
-8.756000e-05,7.36e-02,
-8.754000e-05,7.92e-02,
-8.752000e-05,7.20e-02,
-8.750000e-05,8.48e-02,
-8.748000e-05,6.56e-02,
-8.746000e-05,7.84e-02,
-8.744000e-05,7.20e-02,
-8.742000e-05,7.76e-02,
-8.740000e-05,7.28e-02,
-8.738000e-05,7.68e-02,
-8.736000e-05,7.44e-02,
-8.734000e-05,7.60e-02,
-8.732000e-05,7.52e-02,
-8.730000e-05,7.60e-02,
-8.728000e-05,7.44e-02,
-8.726000e-05,7.60e-02,
-8.724000e-05,7.44e-02,
-8.722000e-05,7.68e-02,
-8.720000e-05,7.44e-02,
-8.718000e-05,7.68e-02,
-8.716000e-05,7.44e-02,
-8.714000e-05,7.60e-02,
-8.712000e-05,7.44e-02,
-8.710000e-05,7.68e-02,
-8.708000e-05,7.44e-02,
-8.706000e-05,7.60e-02,
-8.704000e-05,7.44e-02,
-8.702000e-05,7.68e-02,
-8.700000e-05,7.44e-02,
-8.698000e-05,7.60e-02,
-8.696000e-05,7.44e-02,
-8.694000e-05,7.60e-02,
-8.692000e-05,7.36e-02,
-8.690000e-05,7.60e-02,
